f-0000000001, 01-04-2024, c-0000001, 1234567890, 02-04-2024, f-0000000001_1234567890_document1.pdf, 1000.0, new, BankA, John Doe, 12345678
f-0000000002, 02-04-2024, c-0000002, 0987654321, 03-04-2024, f-0000000002_0987654321_document3.pdf, 1500.0, new, BankB, Lady Gaga, 87654321
f-0000000003, 03-04-2024, c-0000003, 1122334455, 04-04-2024, f-0000000003_1122334455_document5.pdf, 2000.0, done, BankC, Bob Smith, 11223344
f-0000000004, 12-09-2024, c-0000003, 2343243242, 12-09-2024, f-0000000004_2343243242_document3.pdf, 1200.0, done, BankC, Lana Del Rey, 23214
f-0000000005, 12-12-2024, c-0000035, 1234567890, 21-08-2024, f-0000000005_1234567890_document1.pdf, 2700.0, done, BankC, Katy Perry, 213412
f-0000000006, 12-07-2024, c-0000002, 1234567890, 21-08-2024, f-0000000006_1234567890_document5.pdf, 2600.0, done, BankC, Green Tea, 123123321
f-0000000007, 05-04-2024, c-0000004, 2345678901, 06-04-2024, f-0000000007_2345678901_document7.pdf, 2200.0, processing, BankD, Emily Johnson, 7654321
f-0000000008, 06-04-2024, c-0000005, 3456789123, 07-04-2024, f-0000000008_3456789123_document7.pdf, 2500.0, processing, BankE, Mike Brown, 6543210
f-0000000009, 07-04-2024, c-0000006, 4567891234, 08-04-2024, f-0000000009_4567891234_document6.pdf, 3000.0, new, BankE, Sarah Williams, 5432109
f-0000000010, 15-09-2024, c-0000007, 5678912345, 15-09-2024, f-0000000010_5678912345_document6.pdf, 1000.0, done, BankE, Alex Deros, 32145
f-0000000011, 15-12-2024, c-0000036, 6789123456, 25-08-2024, f-0000000011_6789123456_document1.pdf, 2000.0, done, BankE, BB Tran, 214124
f-0000000012, 15-07-2024, c-0000008, 7891234567, 25-08-2024, f-0000000012_7891234567_document2.pdf, 2000.0, done, BankE, Alpha, 456789012
f-0000000013, 08-04-2024, c-0000009, 8912345678, 09-04-2024, f-0000000013_8912345678_document3.pdf, 3500.0, processing, BankG, Laura Smith, 4321098
f-0000000014, 09-04-2024, c-0000010, 9123456789, 10-04-2024, f-0000000014_9123456789_document1.pdf, 4000.0, new, BankH, David Brown, 3210987
f-0000000015, 10-04-2024, c-0000011, 1234123412, 11-04-2024, f-0000000015_1234123412_document6.pdf, 4500.0, processing, BankI, Anna Williams, 2109876
f-0000000016, 12-09-2024, c-0000027, 3233123232, 12-12-2024, f-0000000016_3233123232_document2.pdf, 213213.0, new, BankE, Lala Aurora, 2121321
f-0000000017, 12-12-3214, c-0000012, 124324323123, 23-12-3214, dfs_afa_sdaf.pdf, 2.343242312E9, done, ajsndl, asdas, 21312421
